observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
Thu Jan 03 2019 09:01:02 GMT-0500 (EST),2019-01-03,32.1619695,-81.1139305,5,,Lamium amplexicaule
Wed Apr 10 2019 13:29:36 GMT-0400 (EDT),2019-04-10,38.8905916667,-77.0449916667,10,,Lamium amplexicaule
Thu Apr 11 2019 08:31:38 GMT-0400 (EDT),2019-04-11,40.0600385713,-74.9920219091,5,,Lamium amplexicaule
2019-04-11 2:17:23 PM EDT,2019-04-11,39.39301504,-76.60595505,9,,Lamium amplexicaule
2019/04/07 5:07 PM HST,2019-04-07,39.1231360759,-75.5368819144,325,,Lamium amplexicaule
Fri Apr 12 2019 15:22:32 GMT-0400 (EDT),2019-04-12,38.8328083333,-75.3697666667,5,,Lamium amplexicaule
Fri Apr 12 2019 08:38:19 GMT-0400 (EDT),2019-04-12,38.9670666667,-77.0359416667,10,,Lamium amplexicaule
2019/04/13 11:09 AM EDT,2019-04-13,40.7843902947,-74.1029309148,392,,Lamium amplexicaule
Sun Apr 14 2019 10:10:55 GMT-0400 (EDT),2019-04-14,40.7488333333,-74.0106666667,10,,Lamium amplexicaule
Sat Apr 13 2019 12:04:21 GMT-0400 (EDT),2019-04-13,38.7754583333,-77.0623861667,5,,Lamium amplexicaule
Sun Apr 14 2019 09:25:15 GMT-0400 (EDT),2019-04-14,38.7224,-76.65912,5,,Lamium amplexicaule
Sun Apr 14 2019 10:39:05 GMT-0400 (EDT),2019-04-14,38.53932,-76.5786133333,5,,Lamium amplexicaule
2019-04-12 6:58:14 PM EDT,2019-04-12,40.4324989319,-79.9524993896,,,Lamium amplexicaule
Mon Apr 15 2019 11:44:40 GMT-0400 (EDT),2019-04-15,39.3616416667,-86.1589805,5,,Lamium amplexicaule
2019/04/16 7:00 AM PDT,2019-04-16,32.8895666667,-116.5759027778,,,Lamium amplexicaule
Sun Apr 14 2019 11:46:47 GMT-0700 (PDT),2019-04-14,32.7057122207,-116.5142666829,5,,Lamium amplexicaule
2019/04/16 7:04 PM CDT,2019-04-16,33.9801053341,-87.3489461415,29,,Lamium amplexicaule
Mon Apr 15 2019 17:44:35 GMT-0400 (EDT),2019-04-15,42.3656966667,-71.25692,10,,Lamium amplexicaule
Sun Apr 14 2019 18:31:06 GMT-0400 (EDT),2019-04-14,38.4597166667,-76.5414966667,30,,Lamium amplexicaule
Wed Apr 17 2019 18:34:08 GMT-0400 (EDT),2019-04-17,42.3682497441,-71.2574993092,65,,Lamium amplexicaule
Mon Apr 08 2019 17:25:02 GMT-0400 (EDT),2019-04-08,42.31257,-71.037475,5,,Lamium amplexicaule
Thu Apr 18 2019 18:27:43 GMT-0400 (EDT),2019-04-18,38.8913083333,-77.2127833333,5,,Lamium amplexicaule
